sentence,aspect_term,category,opinion_term,polarity,implicitness
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",food here,quality,not great .,neutral,EAEO
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",lemon salad that,quality,exception of,negative,EAEO
"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .","grilled branzino ,",quality,difficult to eat .,negative,EAEO
"the decor in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse .",decor in,general,diner - ish and,neutral,EAEO
problem is nothing at prune is particularly memorable .,prune is,general,memorable .,negative,EAEO
no plans to return anytime soon .,implicit,general,implicit,negative,IAIO
this place is so much fun .,place is,general,fun .,positive,EAEO
our family never expected such incredible entertainment in a restaurant .,entertainment in,general,incredible entertainment,positive,EAEO
our food was great too !,food was,quality,great too,positive,EAEO
and really large portions .,portions .,ambience,large portions,positive,EAEO
the staff was the friendliest that have seen in new york .,staff was,general,friendliest that,positive,EAEO
if you want something really different than try jekyll and hyde .,jekyll and hyde .,general,different than,positive,EAEO
it is a lot of fun with live entertainment and all kinds of disney type special effects .,implicit,general,fun with,positive,IAEO
the food was pretty tradional but it was hot and good with large portions .,food was,quality,tradional but,positive,EAEO
the food was pretty tradional but it was hot and good with large portions .,food was,quality,hot and,positive,EAEO
the food was pretty tradional but it was hot and good with large portions .,portions .,ambience,large portions,positive,EAEO
i highly recommend it .,implicit,general,recommend it,positive,IAEO
the place is a lot of fun .,place is,general,fun .,positive,EAEO
my six year old loved it .,implicit,general,loved it,positive,IAEO
"the food however , is what one might expect .",food however,quality,expect .,negative,EAEO
it is very overpriced and not very tasty .,implicit,quality,not very tasty .,negative,IAEO
it is very overpriced and not very tasty .,implicit,price,overpriced and,negative,IAEO
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,implicit,general,implicit,negative,IAIO
service was slow had to wait to order and get food although not crowded .,service was,general,slow had,negative,EAEO
drinks way over priced .,drinks way,price,over priced .,negative,EAEO
food was good not great not worth the wait or another visit,food was,quality,good not great not,neutral,EAEO
food was good not great not worth the wait or another visit,implicit,general,not worth the,negative,IAEO
great pizza for lunch place .,pizza for,quality,great pizza,positive,EAEO
service was quick .,service was,general,quick .,positive,EAEO
the pizza was great .,pizza was,quality,great .,positive,EAEO
and it was quick which is very important .,implicit,general,quick which,positive,IAEO
and it was quick which is very important .,implicit,general,important .,positive,IAEO
have the iced tea .,iced tea .,quality,implicit,positive,EAIO
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",fish and,quality,quality fish,positive,EAEO
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",service .,general,great service,positive,EAEO
delivery is fast too .,delivery is,general,fast too,positive,EAEO
"great friendly service , fast seating , fast delivery , excellent sushi .","service ,",general,great friendly,positive,EAEO
"great friendly service , fast seating , fast delivery , excellent sushi .","service ,",general,friendly service,positive,EAEO
"great friendly service , fast seating , fast delivery , excellent sushi .","seating ,",general,fast seating,positive,EAEO
"great friendly service , fast seating , fast delivery , excellent sushi .","delivery ,",general,fast delivery,positive,EAEO
"great friendly service , fast seating , fast delivery , excellent sushi .",sushi .,quality,excellent sushi,positive,EAEO
ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .,bagel in,quality,best bagel,positive,EAEO
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels always,quality,"warm ,",positive,EAEO
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels always,quality,soft on,positive,EAEO
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels always,quality,crispy on,positive,EAEO
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",bagels always,ambience,enormous in,positive,EAEO
they have a huge selection of different cream cheeses and all of their salads are great .,salads are,quality,great .,positive,EAEO
they have a huge selection of different cream cheeses and all of their salads are great .,cream cheeses and,ambience,huge selection,positive,EAEO
they have a huge selection of different cream cheeses and all of their salads are great .,cream cheeses and,ambience,different cream,positive,EAEO
the lox is always fresh too .,lox is,quality,fresh too,positive,EAEO
highly recommended to all !,implicit,general,recommended to,positive,IAEO
not impressed with the food .,food .,quality,not impressed with,negative,EAEO
prices too high for this cramped and unappealing resturant .,resturant .,price,high for,negative,EAEO
prices too high for this cramped and unappealing resturant .,resturant .,general,cramped and,negative,EAEO
prices too high for this cramped and unappealing resturant .,resturant .,general,unappealing resturant,negative,EAEO
zero ambiance to boot .,ambiance to,general,zero ambiance,negative,EAEO
i thought this place was totally overrated .,place was,general,overrated .,negative,EAEO
everything we had was good or ok . . . . but definitely nothing great .,implicit,quality,nothing great .,neutral,IAEO
"the ambience was nice , but service was n ' t so great .",ambience was,general,"nice ,",positive,EAEO
"the ambience was nice , but service was n ' t so great .",service was,general,was n ' t so great .,negative,EAEO
"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .",implicit,general,does n ' t seem worth it,negative,IAEO
"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .",implicit,price,does n ' t seem worth it,negative,IAEO
this is the best shabu - shabu restaurant in the try - state area .,shabu - shabu restaurant in,general,best shabu,positive,EAEO
thius is a must for anyone who loves shabu - shabu .,shabu - shabu .,quality,loves shabu,positive,EAEO
"the atmosphere is nothing special , but it feels like a sushi establishment in tokyo .",atmosphere is,general,"nothing special ,",positive,EAEO
the owner and staff are all japanese as well and that adds to the entire ambiance .,owner and,general,implicit,positive,EAIO
the owner and staff are all japanese as well and that adds to the entire ambiance .,staff are,general,implicit,positive,EAIO
the owner and staff are all japanese as well and that adds to the entire ambiance .,ambiance .,general,adds to,positive,EAEO
"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .","menu ,",ambience,limited menu,negative,EAEO
"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",implicit,quality,fresh and,positive,IAEO
"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",implicit,ambience,"done to perfection ,",positive,IAEO
i must give it yon out of yon stars !,implicit,general,implicit,positive,IAIO
taxan delicious !,taxan delicious,quality,delicious !,positive,EAEO
"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !",implicit,general,recommended by,positive,IAEO
we were n ' t !,implicit,general,implicit,positive,IAIO
the prices were cheap compared to the quality of service and food .,service and,general,implicit,positive,EAIO
the prices were cheap compared to the quality of service and food .,food .,quality,implicit,positive,EAIO
the prices were cheap compared to the quality of service and food .,implicit,price,cheap compared,positive,IAEO
"we liked it so much , that we will always make it a point to dine here when we visit new york .",implicit,general,liked it,positive,IAEO
the location and ambience is ok but the food is what makes up for it .,location and,general,ok but,neutral,EAEO
the location and ambience is ok but the food is what makes up for it .,ambience is,general,ok but,neutral,EAEO
the location and ambience is ok but the food is what makes up for it .,food is,quality,implicit,positive,EAIO
there is a lot of variety even for people who eat vegetarian like me .,implicit,ambience,a lot of variety even,positive,IAEO
try green curry with vegetables .,green curry with vegetables .,quality,try green,positive,EAEO
"the quantity is also very good , you will come out satisfied .",quantity is,ambience,"good ,",positive,EAEO
"the quantity is also very good , you will come out satisfied .",quantity is,ambience,satisfied .,positive,EAEO
"the service is ok , some of the people did n ' t get what they asked for .",service is,general,"ok ,",neutral,EAEO
i was there on sat . for my birthday and we had an excellent time .,implicit,general,excellent time,positive,IAEO
i had the best ravioli ever .,ravioli ever,quality,best ravioli,positive,EAEO
the wine the service was very good too .,wine the,quality,good too,positive,EAEO
the wine the service was very good too .,service was,general,good too,positive,EAEO
moderate prices .,implicit,price,moderate prices,neutral,IAEO
a little noise but i think that was because of our party !,implicit,general,implicit,neutral,IAIO
this quaint and romantic trattoria is at the top of my manhattan restaurant list .,trattoria is,general,quaint and,positive,EAEO
this quaint and romantic trattoria is at the top of my manhattan restaurant list .,trattoria is,general,romantic trattoria,positive,EAEO
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",food is,quality,delicious -,positive,EAEO
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",specials to,quality,implicit,positive,EAIO
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .","regular menu - fare ,",quality,implicit,positive,EAIO
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",dishes are,quality,never a disappointment .,positive,EAEO
"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .",parmesean porcini souffle or,quality,implicit,positive,EAIO
"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .","lamb glazed with balsamic vinegar ,",quality,implicit,positive,EAIO
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",tables may,general,"closely situated ,",negative,EAEO
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .","candle - light ,",general,overcompensate .,positive,EAEO
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",food -,quality,overcompensate .,positive,EAEO
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",service overcompensate,general,overcompensate .,positive,EAEO
a guaranteeed delight !,implicit,general,delight !,positive,IAEO
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",food and,quality,implicit,positive,EAIO
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",food and,price,implicit,positive,EAIO
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",wine for,quality,implicit,positive,EAIO
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",wine for,price,implicit,positive,EAIO
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .","marinara / arrabiatta sauce ,",quality,try the,positive,EAEO
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .","marinara / arrabiatta sauce ,",quality,delicious .,positive,EAEO
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .",implicit,quality,delicious .,positive,IAEO
i pray it stays open forever .,implicit,general,implicit,positive,IAIO
"i found the food , service and value exceptional everytime i have been there .","food ,",quality,exceptional everytime,positive,EAEO
"i found the food , service and value exceptional everytime i have been there .",service and,general,exceptional everytime,positive,EAEO
"i found the food , service and value exceptional everytime i have been there .",implicit,price,exceptional everytime,positive,IAEO
i felt as though i were eating in paris .,implicit,quality,implicit,positive,IAIO
the service was excellent - friendly and attentive .,service was,general,excellent -,positive,EAEO
the service was excellent - friendly and attentive .,service was,general,friendly and,positive,EAEO
the service was excellent - friendly and attentive .,service was,general,attentive .,positive,EAEO
the prices are wonderfully low .,implicit,price,wonderfully low .,positive,IAEO
very good wine choices .,wine choices .,ambience,good wine,positive,EAEO
who has room for cheesesticks with the best pizza in nyc !,pizza in,quality,best pizza,positive,EAEO
get the pepperoni - yum - and a family style salad .,pepperoni -,quality,yum -,positive,EAEO
get the pepperoni - yum - and a family style salad .,family style salad .,quality,yum -,positive,EAEO
great staff .,staff .,general,great staff,positive,EAEO
always great service !,service !,general,great service,positive,EAEO
i go twice a month !,implicit,general,implicit,positive,IAIO
"the food is good , i ca n ' t lie .",food is,quality,"good ,",positive,EAEO
the hostess and the waitress were incredibly rude and did everything they could to rush us out .,hostess and,general,rude and,negative,EAEO
the hostess and the waitress were incredibly rude and did everything they could to rush us out .,waitress were,general,rude and,negative,EAEO
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,waitress basically,general,implicit,negative,EAIO
"this place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",place is,price,pricey,negative,EAEO
"this place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",the food,quality,is worth,positive,EAEO
"this place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",the service,general,implicit,negative,EAIO
save yourself the time and trouble and skip this one !,implicit,general,implicit,negative,IAIO
amma is nothing special .,amma is,general,nothing special .,neutral,EAEO
i ate here a week ago and found most dishes average at best and too expensive .,dishes average,quality,average at best and,negative,EAEO
i ate here a week ago and found most dishes average at best and too expensive .,dishes average,price,expensive .,negative,EAEO
will not be back .,implicit,general,implicit,negative,IAIO
"do n ' t dine at tamarind for the vegetarian dishes , they are simply not up to par with the non - veg selections .","vegetarian dishes ,",quality,not up to par with,negative,EAEO
"do n ' t dine at tamarind for the vegetarian dishes , they are simply not up to par with the non - veg selections .",non - veg selections .,quality,implicit,positive,EAIO
this place is always packed .,place is,general,packed .,neutral,EAEO
"most importantly , food is excellent .",food is,quality,excellent .,positive,EAEO
try the sea bass .,sea bass .,quality,implicit,positive,EAIO
highly recommended .,implicit,general,recommended .,positive,IAEO
first of all dal bukhara rocks .,dal bukhara rocks .,quality,implicit,positive,EAIO
i am happy i did the food was awsome .,food was,quality,awsome .,positive,EAEO
and yes dal bukhara is so dam good and so are all the kababs .,kababs .,quality,good and,positive,EAEO
and yes dal bukhara is so dam good and so are all the kababs .,dal bukhara is,quality,good and,positive,EAEO
but overall i give it a 10,implicit,general,implicit,positive,IAIO
10,implicit,general,implicit,positive,IAIO
haru on park s is simply disgusting .,haru on park s is,general,disgusting .,negative,EAEO
the fish was not fresh and the rice tasted old and stale .,fish was,quality,not fresh and,negative,EAEO
the fish was not fresh and the rice tasted old and stale .,rice tasted,quality,old and,negative,EAEO
the fish was not fresh and the rice tasted old and stale .,rice tasted,quality,stale .,negative,EAEO
"quite frankly , this is some of the worst sushi i have ever tried .",sushi i,quality,worst sushi,negative,EAEO
will never be back .,implicit,general,implicit,negative,IAIO
honestly the worst sushi my husband and i had in our entire lives .,sushi my,quality,worst sushi,negative,EAEO
not sure why this restaurant would be rated that highly .,restaurant would,general,highly .,negative,EAEO
the all - u - can - eat sushi is definitely in very poor quality .,all - u - can - eat sushi is,quality,poor quality .,negative,EAEO
wont come back again for sure !,implicit,general,implicit,negative,IAIO
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",soy sauce (,quality,salty soy,negative,EAEO
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .","rice ,",quality,vinegar - soaked rice,negative,EAEO
the waitstaffs are nice though .,waitstaffs are,general,nice though,positive,EAEO
i have been to roth ' s twice and both times were very disappointing .,roth ' s twice,general,disappointing .,negative,EAEO
"both times i was extremely dissappointed by the service , which was boarderline rude .","service ,",general,dissappointed by,negative,EAEO
"both times i was extremely dissappointed by the service , which was boarderline rude .","service ,",general,rude .,negative,EAEO
they wouldnt even let me finish my glass of wine before offering another .,implicit,general,implicit,negative,IAIO
much of the time it seems like they do not care about you .,implicit,general,implicit,negative,IAIO
"the dinner was ok , nothing i would have again .",dinner was,quality,"ok ,",negative,EAEO
this was a great surprise .,implicit,general,great surprise,positive,IAEO
i look forward to eating here again,implicit,general,implicit,positive,IAIO
planet thai is great !,planet thai is,general,great !,positive,EAEO
"we love the food , drinks , and atmosphere !","food ,",quality,love the,positive,EAEO
"we love the food , drinks , and atmosphere !","drinks ,",quality,love the,positive,EAEO
"we love the food , drinks , and atmosphere !",atmosphere !,general,love the,positive,EAEO
"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",svc can,general,rude at,negative,EAEO
"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",restaurant is,general,must !,positive,EAEO
"try the pad thai , it ' s fabulous and their prices are so cheap !","pad thai ,",quality,try the,positive,EAEO
"try the pad thai , it ' s fabulous and their prices are so cheap !","pad thai ,",quality,fabulous and,positive,EAEO
"try the pad thai , it ' s fabulous and their prices are so cheap !","pad thai ,",quality,cheap !,positive,EAEO
"try the pad thai , it ' s fabulous and their prices are so cheap !",implicit,price,so cheap !,positive,IAEO
"just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !",portions are,ambience,small or,positive,EAEO
"just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !",food is,quality,"nasty ,",positive,EAEO
"just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !",implicit,price,great !,positive,IAEO
"they forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter .",implicit,general,implicit,negative,IAIO
"also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .",sandwiches (,ambience,implicit,positive,EAIO
"also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .",sandwiches (,price,implicit,positive,EAIO
"overall , not worth the money .",implicit,general,not worth the,negative,IAEO
"overall , not worth the money .",implicit,price,not worth the,negative,IAEO
"eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .",atmosphere saves,general,saves it,positive,EAEO
"eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .",implicit,general,disappointing experience,negative,IAEO
chennai garden is my favorite indian restaurant in the city .,chennai garden is,general,favorite indian,positive,EAEO
they have authentic indian at amazing prices .,indian at,quality,authentic indian,positive,EAEO
they have authentic indian at amazing prices .,implicit,price,amazing prices,positive,IAEO
this restaurant is vegetarian ; there are no meat dishes whatsoever .,meat dishes whatsoever,ambience,implicit,negative,EAIO
the seats are uncomfortable if you are sitting against the wall on wooden benches .,seats are,general,uncomfortable if,negative,EAEO
it ' s a rather cramped and busy restaurant and it closes early .,restaurant and,general,busy restaurant,negative,EAEO
it ' s a rather cramped and busy restaurant and it closes early .,restaurant and,general,cramped and,negative,EAEO
the food is tasty and portion sizes are appropriate .,food is,quality,tasty and,positive,EAEO
the food is tasty and portion sizes are appropriate .,portion sizes are,ambience,appropriate .,positive,EAEO
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,restaurant if,general,nice restaurant,positive,EAEO
not a great place for family or general dining .,place for,general,not a great place,negative,EAEO
food is excellent .,food is,quality,excellent .,positive,EAEO
fish is so very fresh .,fish is,quality,fresh .,positive,EAEO
waitstaff are very friendly .,waitstaff are,general,friendly .,positive,EAEO
love yuka .,yuka .,general,love yuka,positive,EAEO
mermaid inn is an overall good restaurant with really good seafood .,seafood .,quality,good seafood,positive,EAEO
mermaid inn is an overall good restaurant with really good seafood .,mermaid inn is,general,good restaurant,positive,EAEO
the lobster sandwich is good and the spaghetti with scallops and shrimp is great .,lobster sandwich is,quality,good and,positive,EAEO
the lobster sandwich is good and the spaghetti with scallops and shrimp is great .,spaghetti with scallops and shrimp is,quality,great .,positive,EAEO
the service is good and ambience is good for a date or group outing .,service is,general,good and,positive,EAEO
the service is good and ambience is good for a date or group outing .,ambience is,general,good for,positive,EAEO
the only fallback on this restaurant is the prices .,restaurant is,price,fallback on,negative,EAEO
"even though its good seafood , the prices are too high .","seafood ,",quality,good seafood,positive,EAEO
"even though its good seafood , the prices are too high .",implicit,price,too high .,negative,IAEO
the lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,lobster sandwich is,quality,good it,positive,EAEO
the lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,lobster sandwich is,price,not nearly enough to,negative,EAEO
we were very pleasantly surprised .,implicit,general,pleasantly surprised .,positive,IAEO
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",food was,quality,delicious (,positive,EAEO
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .","halibut special ,",quality,delicious (,positive,EAEO
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",steak ),quality,delicious (,positive,EAEO
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",service was,general,top - notch .,positive,EAEO
"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",waiter must,general,implicit,positive,EAIO
truly the mark of an attentive waiter .,waiter .,general,attentive waiter,positive,EAEO
i highly recommend the restaurant based on our experience last night .,restaurant based,general,recommend the,positive,EAEO
we ate at this thai place following the reviews but very unhappy with the foods .,foods .,quality,unhappy with,negative,EAEO
we thought that this place is using too much of msg cooking in the foods .,foods .,quality,implicit,negative,EAIO
"they do n ' t concern much of customer ' s health , just want to make money .",implicit,general,implicit,negative,IAIO
please do n ' t fool us .,implicit,general,fool us,negative,IAEO
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .","jelly fish ,",quality,recommend the,positive,EAEO
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",drunken chicken and,quality,recommend the,positive,EAEO
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .","soupy dumplings ,",quality,recommend the,positive,EAEO
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",stir fry blue crab .,quality,recommend the,positive,EAEO
the food is so cheap and the waiters are nice .,food is,price,cheap and,positive,EAEO
the food is so cheap and the waiters are nice .,waiters are,general,nice .,positive,EAEO
"of course , it is crowded but who cares .",implicit,general,implicit,neutral,IAIO
authentic shanghai style and i can not recommend a better shanghai place in new york .,implicit,general,authentic shanghai,positive,IAEO
have frequented ' ino for several years and the food remains excellent .,food remains,quality,excellent .,positive,EAEO
cheese plate is a varied delight and great bargain at $ 10 .,cheese plate is,quality,varied delight and,positive,EAEO
cheese plate is a varied delight and great bargain at $ 10 .,cheese plate is,ambience,varied delight and,positive,EAEO
cheese plate is a varied delight and great bargain at $ 10 .,cheese plate is,price,great bargain at,positive,EAEO
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .","bruschettas ,",ambience,large selection of,positive,EAEO
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .","paninis ,",ambience,large selection of,positive,EAEO
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",tramezzinis keep,ambience,large selection of,positive,EAEO
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )","asparagus ,",quality,winner !,positive,EAEO
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )","truffle oil ,",quality,winner !,positive,EAEO
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )",parmesan bruschetta is,quality,winner !,positive,EAEO
"be sure to try the seasonal , and always delicious , specials .",specials .,quality,try the,positive,EAEO
"be sure to try the seasonal , and always delicious , specials .",specials .,quality,"seasonal ,",positive,EAEO
"be sure to try the seasonal , and always delicious , specials .",specials .,quality,"delicious ,",positive,EAEO
definitely a neighborhood favorite .,implicit,general,favorite .,positive,IAEO
i loved this place ! !,place !,general,loved this,positive,EAEO
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .,atmosphere was,general,great and,positive,EAEO
"i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people who,general,evil and,negative,EAEO
"i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people who,general,incompetent !,negative,EAEO
"i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",cafe noir dont,general,like cafe,positive,EAEO
"the service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",service was,general,"terrible ,",negative,EAEO
"the waitress , seems to be more concerned of looking good than actually waitressing .","waitress ,",general,implicit,negative,EAIO
"after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",manager grabbed,general,implicit,negative,EAIO
"we did tip , i guess the model / waitress just wanted more and complained to the manager .",waitress just,general,implicit,negative,EAIO
pizza here is consistently good .,pizza here,quality,good .,positive,EAEO
salads are a delicious way to begin the meal .,salads are,quality,delicious way,positive,EAEO
it is thick and slightly soggy .,implicit,quality,thick and,negative,IAEO
it is thick and slightly soggy .,implicit,quality,soggy .,negative,IAEO
decor is charming .,decor is,general,charming .,positive,EAEO
service is average .,service is,general,average .,neutral,EAEO
what a great place .,place .,general,great place,positive,EAEO
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",ambience was,general,"fun ,",positive,EAEO
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",food was,quality,tasty .,positive,EAEO
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",implicit,price,"great ,",positive,IAEO
"i was n ' t thrilled to have to wait on line for thirty minutes , but i guess that ' s the price you pay for a popular place .",implicit,general,implicit,neutral,IAIO
i would definitely recommend sea if you like thai cuisine !,thai cuisine !,quality,like thai,positive,EAEO
i was here a few weeks back and we had the worst customer service experience at a restaurant ever .,customer service experience,general,worst customer,negative,EAEO
"a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .","gentleman ,",general,implicit,negative,EAIO
"while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",implicit,general,uncourteous to,negative,IAEO
"while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",implicit,general,rude .,negative,IAEO
never again !,implicit,general,never again !,negative,IAEO
i absolutely loved this place .,place .,general,loved this,positive,EAEO
"excellent atmosphere , delicious dishes good and friendly service .","atmosphere ,",general,excellent atmosphere,positive,EAEO
"excellent atmosphere , delicious dishes good and friendly service .",dishes good,quality,delicious dishes,positive,EAEO
"excellent atmosphere , delicious dishes good and friendly service .",service .,general,good and,positive,EAEO
"excellent atmosphere , delicious dishes good and friendly service .",service .,general,friendly service,positive,EAEO
this is can became on e of the ny italian food fare institutions .,implicit,general,implicit,positive,IAIO
i think that it is absolutely brilliant and well runned business operation .,implicit,general,brilliant and,positive,IAEO
i think that it is absolutely brilliant and well runned business operation .,implicit,general,well runned business,positive,IAEO
the wine list is also really nice .,wine list is,ambience,nice .,positive,EAEO
i have been to casimir over 5 times and i have always had a great time there .,casimir over,general,great time there,positive,EAEO
the food is great and reasonably priced .,food is,quality,great and,positive,EAEO
the food is great and reasonably priced .,food is,price,reasonably priced .,positive,EAEO
"i have tried to make reservations , but both times , the hostess did n ' t have my name .",hostess did,general,implicit,negative,EAIO
"if the weather is nice , try to snag an outside table .",outside table .,general,implicit,positive,EAIO
"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff has,general,"nice ,",positive,EAEO
"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",staff has,general,stressed and,positive,EAEO
"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",unisex bathroom needs,general,implicit,negative,EAIO
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .,implicit,general,magnificent .,positive,IAEO
"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .",caviar to,quality,spectacular caviar,positive,EAEO
"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .","waitstaff ,",general,hospitable waitstaff,positive,EAEO
"considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff did,general,comfortable and,positive,EAEO
"considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",waitstaff did,general,relaxed .,positive,EAEO
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .,caviar and,quality,delicious top grade caviar,positive,EAEO
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .,service .,general,fantastic service,positive,EAEO
nice family owned traditional restaurant .,restaurant .,general,traditional restaurant,positive,EAEO
i was pleasantly surprised to find this gem in hoboken .,implicit,general,surprised to,positive,IAEO
"i found the food to be outstanding , particulary the salmon dish i had .",food to,quality,"outstanding ,",positive,EAEO
"i found the food to be outstanding , particulary the salmon dish i had .",salmon dish i,quality,"outstanding ,",positive,EAEO
"i also ordered the change mojito , which was out of this world .","change mojito ,",quality,out of this world .,positive,EAEO
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .","dim sum ,",quality,good .,neutral,EAEO
