Sentence,Aspect,Category,Opinion,Polarity,Implicitness
hopefully with time it stretches out .,null,performance#sizing/fit,hopefully with time it stretches out,negative,IAEO
ordered size 15 & they were too short even though i can wear size 14 in other brands .,null,performance#sizing/fit,size 15 & they were too short,negative,IAEO
also these shoes in size 15 are very narrow .,shoes,performance#sizing/fit,in size 15 are very narrow,negative,EAEO
too narrow for my feet .,null,performance#sizing/fit,too narrow for my feet,negative,IAEO
i usually wear a b width but these are still too narrow .,null,performance#sizing/fit,usually wear a b width but these are still too narrow,negative,IAEO
shoe too tight .,shoe,performance#sizing/fit,too tight,negative,EAEO
hard for the intended user to put on and off by himself .,null,performance#sizing/fit,hard for the intended user to put on and off,negative,IAEO
item is not like previous model .,item,general,not like previous model,negative,EAEO
leather is not as soft and fit is not as generous .,leather,appearance#material,not as soft,negative,EAEO
leather is not as soft and fit is not as generous .,fit,performance#sizing/fit,not as generous,negative,EAEO
flexibility of upper is also reduced .,upper,appearance#shoe component,flexibility of upper is also reduced,negative,EAEO
flexibility of upper is also reduced .,null,performance#support/stability,flexibility of upper is also reduced,negative,IAEO
the shoe seems to make my foot turn in .,shoe,performance#support/stability,make my foot turn in,negative,EAEO
not sure if keeping or returning them,null,cost/value,not sure if keeping or returning them,neutral,IAEO
i don ' t like the support .,null,performance#support/stability,i don ' t like the support,negative,IAEO
not a lot to choose from when your width is b .,null,performance#sizing/fit,not a lot to choose from when your width is b,negative,IAEO
"been buying ' the better quality ' , ' more expensive "" nb wide trainers and i have been happy .",null,contextofuse#purchase\_context,"been buying ' the better quality ' , ' more expensive "" nb wide trainers and i have been happy",positive,IAEO
this pair of 875 frayed on the ankle upper sides and isn ' t as firm or supporting all around as previous nb trainers .,pair of 875,appearance#form,frayed on the ankle upper sides,negative,EAEO
this pair of 875 frayed on the ankle upper sides and isn ' t as firm or supporting all around as previous nb trainers .,ankle upper sides,appearance#shoe component,frayed on the ankle upper sides,negative,EAEO
this pair of 875 frayed on the ankle upper sides and isn ' t as firm or supporting all around as previous nb trainers .,pair of 875,performance#support/stability,isn ' t as firm or supporting all around as previous nb trainers,negative,EAEO
i don ' t work them hard and use ' molded ' to my feet orthotics .,null,performance#use case applicability,i don ' t work them hard and use ' molded ' to my feet orthotics .,negative,IAEO
next purchase will be a less expensive pair of trainer to compare .,pair of trainer,contextofuse#purchase\_context,next purchase will be a less expensive pair of trainer to compare,neutral,EAEO
next purchase will be a less expensive pair of trainer to compare .,null,cost/value,next purchase will be a less expensive pair of trainer to compare,negative,IAEO
"happy with the width , the reason i buy nb shoes .",nb shoes,appearance#form,happy with the width,positive,EAEO
after purchasing the 686 to replace my 847which i loved i was not sure i would go back to nb .,the 686,contextofuse#purchase\_context,after purchasing the 686 to replace my 847which i loved,neutral,EAEO
glad i did the 857 are great .,857,general,are great,positive,EAEO
they are as comfortable as the 847 were which my wife happy as i can retire the 847 now .,null,performance#comfort,as comfortable as the 847,positive,IAEO
i need wide ands comfortable shoes .,null,performance#comfort,i need wide ands comfortable shoes,neutral,IAEO
i need wide ands comfortable shoes .,null,performance#sizing/fit,i need wide ands comfortable shoes,neutral,IAEO
this fits the bill just fine .,null,performance#sizing/fit,this fits the bill just fine,neutral,IAEO
this fits the bill just fine .,null,performance#comfort,this fits the bill just fine,positive,IAEO
unfortunately it did not fit .,null,performance#sizing/fit,did not fit,negative,IAEO
it is not the shoe ' s fault .,shoe ' s,appearance#form,it is not the shoe ' s fault,positive,EAEO
"i have foot problems and use orthotics , which makes me very difficult to fit .",orthotics,appearance#shoe component,"use orthotics , which makes me very difficult to fit",negative,EAEO
5 b shoes fit me .,new balance 12 . 5 b shoes,performance#sizing/fit,fit me,neutral,EAEO
the 857v2 was long enough but the toe box seemed slightly too short in height for my odd feet .,857v2,appearance#form,was long enough,positive,EAEO
the 857v2 was long enough but the toe box seemed slightly too short in height for my odd feet .,toe box,appearance#shoe component,seemed slightly too short in height,negative,EAEO
i ' ve worn nb for years and actually upgraded when i ordered these .,nb,contextofuse#purchase\_context,i ' ve worn nb for years and actually upgraded when i ordered these,neutral,EAEO
i ' ve worn nb for years and actually upgraded when i ordered these .,nb,contextofuse#review\_temporality,i ' ve worn nb for years and actually upgraded when i ordered these,neutral,EAEO
a blister about the size of a half dollar was rubbed on my left heel during my daily three mile walk on the second day of wearing them .,left heel,appearance#shoe component,blister about the size of a half dollar was rubbed on my left heel during my daily three mile walk on the second day of wearing them,negative,EAEO
a blister about the size of a half dollar was rubbed on my left heel during my daily three mile walk on the second day of wearing them .,null,performance#comfort,blister about the size of a half dollar was rubbed on my left heel during my daily three mile walk on the second day of wearing them,negative,IAEO
a blister about the size of a half dollar was rubbed on my left heel during my daily three mile walk on the second day of wearing them .,null,performance#use case applicability,blister about the size of a half dollar was rubbed on my left heel during my daily three mile walk on the second day of wearing them,negative,IAEO
my shoes were to small and too tight on the exchange .,shoes,performance#sizing/fit,were to small and too tight on the exchange,negative,EAEO
i ordered my size that i usually wear in a d width the shoe runs small .,null,performance#sizing/fit,i ordered my size that i usually wear in a d width the shoe runs small,negative,IAEO
great fitting trail shoe .,trail shoe,performance#comfort,great fitting,positive,EAEO
i ordered them in wide and have lots of room for my wide toes .,null,performance#comfort,lots of room for my wide toes,positive,IAEO
i ordered them in wide and have lots of room for my wide toes .,null,appearance#form,lots of room for my wide toes,positive,IAEO
i ordered them in wide and have lots of room for my wide toes .,null,contextofuse#purchase\_context,i ordered them in wide,neutral,IAEO
great grip on the trail and fairly lightweight for a trail shoe .,trail shoe,performance#use case applicability,great grip on the trail,positive,EAEO
great grip on the trail and fairly lightweight for a trail shoe .,grip,appearance#shoe component,great grip on the trail,positive,EAEO
great grip on the trail and fairly lightweight for a trail shoe .,trail shoe,appearance#material,fairly lightweight,positive,EAEO
like the tread and overall fit .,null,performance#sizing/fit,like the tread and overall fit,positive,IAEO
like the tread and overall fit .,tread,appearance#shoe component,like the tread,positive,EAEO
i need wide width and new balance always has a great selection to choose from .,null,performance#sizing/fit,i need wide width and new balance always has a great selection to choose from,positive,IAEO
i need wide width and new balance always has a great selection to choose from .,null,contextofuse#purchase\_context,i need wide width and new balance always has a great selection to choose from,positive,IAEO
"very light , different style , had to go down half a size for best fit , overall very good purchase",null,cost/value,overall very good purchase,positive,IAEO
"very light , different style , had to go down half a size for best fit , overall very good purchase",null,performance#sizing/fit,had to go down half a size for best fit,negative,IAEO
"very light , different style , had to go down half a size for best fit , overall very good purchase",null,appearance#form,different style,positive,IAEO
"very light , different style , had to go down half a size for best fit , overall very good purchase",null,appearance#material,very light,positive,IAEO
unfortunately the eyelet came undone after very light use .,eyelet,performance#durability,came undone after very light use,negative,EAEO
unfortunately the eyelet came undone after very light use .,eyelet,appearance#shoe component,came undone after very light use,negative,EAEO
so now the laces are flopping around and the shoes are not useable .,laces,appearance#shoe component,so now the laces are flopping around and the shoes are not useable,negative,EAEO
"it ' s annoying to buy sneakers online anyway , but when size isn ' t common even amongst the same brand it is excruciatingly annoying .",sneakers,contextofuse#purchase\_context,it ' s annoying to buy sneakers online anyway,negative,EAEO
"it ' s annoying to buy sneakers online anyway , but when size isn ' t common even amongst the same brand it is excruciatingly annoying .",sneakers,contextofuse#purchase\_context,when size isn ' t common even amongst the same brand it is excruciatingly annoying,negative,EAEO
the upper fabric is well breathable as nice flex too it .,upper fabric,appearance#material,upper fabric is well breathable,positive,EAEO
the upper fabric is well breathable as nice flex too it .,null,performance#support/stability,nice flex too it,positive,IAEO
overall is a really well made shoes,shoes,appearance#misc,overall is a really well made,positive,EAEO
"the lace design is interesting , but the sock style fit keeps the shoe in place well .",lace,appearance#shoe component,design is interesting,positive,EAEO
"the lace design is interesting , but the sock style fit keeps the shoe in place well .",shoe,performance#sizing/fit,sock style fit keeps the shoe in place well,positive,EAEO
"the lace design is interesting , but the sock style fit keeps the shoe in place well .",sock style,appearance#shoe component,sock style fit keeps the shoe in place well,positive,EAEO
the soles are very comfortable for long walks and runs,null,performance#comfort,the soles are very comfortable for long walks and runs,positive,IAEO
the soles are very comfortable for long walks and runs,soles,appearance#shoe component,the soles are very comfortable for long walks and runs,positive,EAEO
the soles are very comfortable for long walks and runs,long walks and runs,performance#use case applicability,the soles are very comfortable for long walks and runs,positive,EAEO
"i purchased these shoes , love the look .",shoes,appearance#general,love the look,positive,EAEO
proudly wore them once for about 8 hours and had significant foot & back pain for almost a week .,null,performance#comfort,had significant foot & back pain for almost a week,negative,IAEO
proudly wore them once for about 8 hours and had significant foot & back pain for almost a week .,null,contextofuse#use case,wore them once for about 8 hours,negative,IAEO
"something with the design of this shoe or insole makes it very uncomfortable ( more so after wearing , than during ) .",design of this shoe or insole,performance#comfort,makes it very uncomfortable,negative,EAEO
"this pair and the last pair i bought which was 608v4 have no arch support , within 20min toes were tingling and feet were hurting after five hours even my legs were aching .",608v4,performance#support/stability,no arch support,negative,EAEO
"this pair and the last pair i bought which was 608v4 have no arch support , within 20min toes were tingling and feet were hurting after five hours even my legs were aching .",608v4,performance#comfort,20min toes were tingling,negative,EAEO
"this pair and the last pair i bought which was 608v4 have no arch support , within 20min toes were tingling and feet were hurting after five hours even my legs were aching .",608v4,performance#comfort,feet were hurting,negative,EAEO
"this pair and the last pair i bought which was 608v4 have no arch support , within 20min toes were tingling and feet were hurting after five hours even my legs were aching .",608v4,performance#support/stability,legs were aching,negative,EAEO
"i wish they would bring back the the 790 , now that was the best shoe ever .",790,cost/value,"i wish they would bring back the the 790 , now that was the best shoe ever",positive,EAEO
i wanted some shoes to stand in for work and these are not it .,shoes,performance#use case applicability,i wanted some shoes to stand in for work and these are not it,negative,EAEO
these shoes are so heavy .,shoes,appearance#material,so heavy,negative,EAEO
my toes are in pain not too long after wearing them and you can ' t imagine how i feel by the end of the day .,null,performance#comfort,my toes are in pain not too long after wearing them,negative,IAEO
these sneakers for a very narrow leg .,sneakers,appearance#form,very narrow leg,negative,EAEO
didn ' t fit .,null,performance#sizing/fit,didn ' t fit,negative,IAEO
very tight in width .,null,performance#sizing/fit,very tight in width,negative,IAEO
impossible to put on shoes .,shoes,performance#sizing/fit,impossible to put on,negative,EAEO
i ' d been meaning to get some cute white sneakers for a while and these are perfect .,white sneakers,appearance#general,these are perfect,positive,EAEO
they ' re so comfortable and i love the platform .,null,performance#comfort,so comfortable,positive,IAEO
they ' re so comfortable and i love the platform .,platform,appearance#shoe component,i love,positive,EAEO
this purchase was definitely worth it .,purchase,cost/value,definitely worth it,positive,EAEO
the sneakers are very nice but slightly narrow on the sides .,sneakers,general,very nice,positive,EAEO
the sneakers are very nice but slightly narrow on the sides .,sneakers,appearance#form,slightly narrow on the sides,negative,EAEO
they are true to size .,null,performance#sizing/fit,true to size,positive,IAEO
these shoes can be worn with literally everything !,shoes,contextofuse#use case,be worn with literally everything,positive,EAEO
these shoes can be worn with literally everything !,shoes,appearance#general,be worn with literally everything,positive,EAEO
super cute and comfortable .,null,appearance#general,super cute,positive,IAEO
super cute and comfortable .,null,performance#comfort,comfortable,positive,IAEO
it ' s comfortable .,null,performance#comfort,it ' s comfortable,positive,IAEO
"i don ' t like the lilac color on the shoe , it ' s true to size .",shoe,appearance#color,i don ' t like the lilac color,negative,EAEO
"i don ' t like the lilac color on the shoe , it ' s true to size .",shoe,performance#sizing/fit,true to size,positive,EAEO
maybe it ' s cause i ' m used to wearing more flexible shoes that are made of fabric tops like wool .,flexible shoes that are made of fabric tops like wool,appearance#material,maybe it ' s cause i ' m used to wearing more flexible shoes,neutral,EAEO
"but it was extremely boxy and uncomfortable , stiff and hard to move in .",null,performance#sizing/fit,extremely boxy,negative,IAEO
"but it was extremely boxy and uncomfortable , stiff and hard to move in .",null,performance#comfort,uncomfortable,negative,IAEO
"but it was extremely boxy and uncomfortable , stiff and hard to move in .",null,performance#use case applicability,stiff and hard to move in,negative,IAEO
"i don ' t recommend for people with wide feet , it ' s slightly narrow .",people with wide feet,performance#sizing/fit,"i don ' t recommend for people with wide feet , it ' s slightly narrow",negative,EAEO
the color is great though,color,appearance#color,is great,positive,EAEO
i wore them one day and the creases were so noticeable .,null,performance#durability,the creases were so noticeable,negative,IAEO
i wore them one day and the creases were so noticeable .,null,contextofuse#review\_temporality,i wore them one day,neutral,IAEO
they look old and i just got them .,null,performance#durability,look old and i just got them,negative,IAEO
was really disappointed .,null,general,was really disappointed,negative,IAEO
so i love the look of this shoe and the color is fire but the heel is too big and there ' s something that presses on top of my foot and by the end of the day my feet are sore .,shoe,appearance#general,i love the look,positive,EAEO
so i love the look of this shoe and the color is fire but the heel is too big and there ' s something that presses on top of my foot and by the end of the day my feet are sore .,shoe,appearance#color,the color is fire,positive,EAEO
so i love the look of this shoe and the color is fire but the heel is too big and there ' s something that presses on top of my foot and by the end of the day my feet are sore .,heel,appearance#shoe component,too big,negative,EAEO
so i love the look of this shoe and the color is fire but the heel is too big and there ' s something that presses on top of my foot and by the end of the day my feet are sore .,feet,contextofuse#review\_temporality,by the end of the day my feet are sore,negative,EAEO
so i love the look of this shoe and the color is fire but the heel is too big and there ' s something that presses on top of my foot and by the end of the day my feet are sore .,feet,performance#comfort,by the end of the day my feet are sore,negative,EAEO
so i love the look of this shoe and the color is fire but the heel is too big and there ' s something that presses on top of my foot and by the end of the day my feet are sore .,null,appearance#shoe component,something that presses on top of my foot,negative,IAEO
i don ' t know what it is !,null,appearance#shoe component,i don ' t know what it is,negative,IAEO
maybe a seam .,null,appearance#shoe component,maybe a seam,neutral,IAEO
"but whatever it is , it ' s on the outer edge on top .",null,appearance#shoe component,on the outer edge on top,negative,IAEO
maybe i got a bad batch,null,contextofuse#purchase\_context,maybe i got a bad batch,negative,IAEO
this pair of shoes was purchased based on the website guidance they were wide .,pair of shoes,performance#sizing/fit,purchased based on the website guidance they were wide,negative,EAEO
the shoes arrived in time for christmas and were wer2 tried on christmas morning .,shoes,contextofuse#purchase\_context,arrived in time for christmas,positive,EAEO
they were not close to wide enough and this was quite disappointing .,null,performance#sizing/fit,not close to wide enough and this was quite disappointing,negative,IAEO
these shoes run small !,shoes,performance#sizing/fit,run small,negative,EAEO
i ' m usually a 6 and i had to go half a size up .,null,performance#sizing/fit,i ' m usually a 6 and i had to go half a size up,negative,IAEO
"but besides that , these shoes are very comfortable .",shoes,performance#comfort,very comfortable,positive,EAEO
i purchased two pairs ( different colors ) of these sneakers for my wife as a birthday gift .,purchased two pairs,contextofuse#purchase\_context,for my wife as a birthday gift,neutral,EAEO
so she as had them for almost a month and she loves them .,null,contextofuse#review\_temporality,had them for almost a month and she loves them,positive,IAEO
she finds these new sneakers comfortable and a joy to wear .,sneakers,performance#comfort,comfortable,positive,EAEO
she finds these new sneakers comfortable and a joy to wear .,sneakers,performance#general,joy to wear,positive,EAEO
not these shoes .,shoes,performance#sizing/fit,not these,negative,EAEO
the shoes are too tight in the toe box .,toe box,appearance#shoe component,too tight in the toe box,negative,EAEO
i will be returning them .,null,cost/value,i will be returning,negative,IAEO
bought them out of nostagia .,null,contextofuse#purchase\_context,bought them out of nostagia,positive,IAEO
they almost look the same but the leather is not soft as before .,null,appearance#form,almost look the same,positive,IAEO
they almost look the same but the leather is not soft as before .,leather,appearance#material,not soft as before,negative,EAEO
"this shoe looks amazing , but i wish the in - soul was a little more comfortable .",shoe,appearance#general,"looks amazing ,",positive,EAEO
"this shoe looks amazing , but i wish the in - soul was a little more comfortable .",shoe,performance#comfort,little more comfortable,negative,EAEO
"this shoe looks amazing , but i wish the in - soul was a little more comfortable .",in - soul,appearance#shoe component,little more comfortable,negative,EAEO
"it ' s pretty firm allowing for more durability , but it could be a little more flexible .",null,performance#durability,pretty firm allowing for more durability,positive,IAEO
"it ' s pretty firm allowing for more durability , but it could be a little more flexible .",null,performance#general,it could be a little more flexible,negative,IAEO
cushioning not only on the sole but all around the inside of the shoe provide great comfort .,shoe,performance#comfort,cushioning not only on the sole but all around the inside of the shoe provide great comfort,positive,EAEO
cushioning not only on the sole but all around the inside of the shoe provide great comfort .,cushioning,appearance#material,cushioning not only on the sole but all around the inside of the shoe provide great comfort,positive,EAEO
cushioning not only on the sole but all around the inside of the shoe provide great comfort .,sole,appearance#shoe component,cushioning not only on the sole but all around the inside of the shoe provide great comfort,positive,EAEO
if you have a narrow foot or small ankles it ' s a bit wide but nothing a little bit of tightening of the laces can ' t fix,null,appearance#form,narrow foot or small ankles it ' s a bit wide,negative,IAEO
i order a size too small .,null,contextofuse#purchase\_context,i order a size too small,negative,IAEO
i order a size too small .,null,performance#sizing/fit,i order a size too small,negative,IAEO
called my locals redbox stores ; don ' t have the size .,redbox stores,misc,don ' t have the size,neutral,EAEO
5 what a shame really,null,cost/value,what a shame really,negative,IAEO
perfect fit .,null,performance#sizing/fit,perfect fit,positive,IAEO
super cool shoes .,shoes,appearance#general,super cool,positive,EAEO
super fast shipping .,shipping,contextofuse#purchase\_context,super fast shipping,positive,EAEO
classic look .,null,appearance#general,classic look,positive,IAEO
i couldn ' t wear them with out keeping my balance .,null,performance#support/stability,couldn ' t wear them with out keeping my balance,negative,IAEO
nothing like my old 990 i return them am have yet to get credit for them,null,cost/value,i return them am have yet to get credit for them,negative,IAEO
my foot dr suggested these shoes - very comfortable !,shoes,contextofuse#purchase\_context,my foot dr suggested these,positive,EAEO
my foot dr suggested these shoes - very comfortable !,shoes,performance#comfort,very comfortable,positive,EAEO
i can walk forever,null,performance#use case applicability,i can walk forever,positive,IAEO
i use my shoes for cardio exercise .,shoes,contextofuse#use case,i use my shoes for cardio exercise,positive,EAEO
i have challenges with my feet and find that i can always depend on new balance shoes to take care of my feet !,new balance shoes,performance#general,i can always depend on new balance shoes to take care of my feet,positive,EAEO
i have worn these shoes after replacing both of my knees and recently after having surgery from a ruptured achilles tendon .,shoes,contextofuse#use case,i have worn these shoes after replacing both of my knees and recently after having surgery from a ruptured achilles tendon,neutral,EAEO
i love the support they provide .,null,performance#support/stability,i love the support they provide,positive,IAEO
i want a lighter shoe and one that is not so rigid on the sides and heel .,shoe,appearance#shoe component,i want a lighter shoe,negative,EAEO
i want a lighter shoe and one that is not so rigid on the sides and heel .,shoe,appearance#form,one that is not so rigid on the sides and heel,negative,EAEO
i found it caused my heel to ache .,null,contextofuse#use case,i found it caused my heel to ache,negative,IAEO
i have sort of flat feet and i have to say these are just not very comfortable .,null,performance#comfort,not very comfortable,negative,IAEO
the leather is really soft sure but the padding at the sole is quite stiff .,leather,appearance#material,really soft,positive,EAEO
the leather is really soft sure but the padding at the sole is quite stiff .,padding at the sole,appearance#material,quite stiff,negative,EAEO
i really wish i could return these because they were a little pricey .,null,cost/value,i really wish i could return these because they were a little pricey,negative,IAEO
in comparison my nike zoom pegasus 36 are a lot more comfortable but my podiatrist recommended new balance for flat feet so 🤷🏻‍♀️,null,performance#comfort,a lot more comfortable,negative,IAEO
in comparison my nike zoom pegasus 36 are a lot more comfortable but my podiatrist recommended new balance for flat feet so 🤷🏻‍♀️,nike zoom pegasus 36,performance#comfort,a lot more comfortable,positive,EAEO
in comparison my nike zoom pegasus 36 are a lot more comfortable but my podiatrist recommended new balance for flat feet so 🤷🏻‍♀️,new balance,contextofuse#purchase\_context,my podiatrist recommended new balance for flat feet so,negative,EAEO
every pair i have ordered has been defective .,pair,contextofuse#purchase\_context,every pair i have ordered has been defective,negative,EAEO
stitching on side not complete and on tongue .,null,appearance#material,stitching on side not complete,negative,IAEO
stitching on side not complete and on tongue .,tongue,appearance#shoe component,stitching on side not complete,negative,EAEO
i was hoping these would be good walking sneakers but they were not comfortable in any way .,sneakers,performance#use case applicability,hoping these would be good walking sneakers but they were not comfortable in any way,negative,EAEO
i did like the neutral color .,null,appearance#color,i did like the neutral color,positive,IAEO
love the unique color & gum soles .,gum soles,appearance#shoe component,love the unique color,positive,EAEO
love the unique color & gum soles .,null,appearance#color,love the unique color,positive,IAEO
get lots of compliments .,null,contextofuse#use case,get lots of compliments,positive,IAEO
wear as casual shoe .,shoe,contextofuse#use case,wear as casual shoe,positive,EAEO
a little firm for standing all day .,null,performance#comfort,a little firm for standing all day,negative,IAEO
i like these .,null,general,i like these,positive,IAEO
love the color .,null,appearance#color,love the color,positive,IAEO
"they aren ' t as comfortable as plrs that i ' ve had in the past , but decent enough .",null,performance#general,decent enough,positive,IAEO
"they aren ' t as comfortable as plrs that i ' ve had in the past , but decent enough .",null,performance#comfort,they aren ' t as comfortable as plrs,negative,IAEO
the shoe fit great and was accurately described .,shoe,performance#sizing/fit,fit great,negative,EAEO
the shoe fit great and was accurately described .,shoe,contextofuse#purchase\_context,was accurately described,positive,EAEO
"however , the tongue doesn ' t stay straight on the top of the shoe and made the top of my foot hurt !",shoe,performance#comfort,doesn ' t stay straight on the top of the shoe and made the top of my foot hurt,negative,EAEO
"however , the tongue doesn ' t stay straight on the top of the shoe and made the top of my foot hurt !",tongue,appearance#shoe component,doesn ' t stay straight on the top of the shoe and made the top of my foot hurt,negative,EAEO
i have to constantly readjust it .,null,performance#comfort,i have to constantly readjust it,negative,IAEO
i wouldn ' t buy them again .,null,cost/value,i wouldn ' t buy them again,negative,IAEO
great shoes i love it .,shoes,general,great shoes i love it,positive,EAEO
it is very comfortable and the quality es excellent,null,appearance#general,quality es excellent,positive,IAEO
it is very comfortable and the quality es excellent,null,performance#comfort,very comfortable,positive,IAEO
nice looking shoe but very poorly made .,shoe,appearance#general,nice looking,positive,EAEO
nice looking shoe but very poorly made .,shoe,performance#durability,very poorly made,negative,EAEO
there should be a standard on what shoes can actually be sent out to customers .,shoes,cost/value,there should be a standard on what shoes can actually be sent out to customers,negative,EAEO
"great , light , comfortable shoe .",shoe,performance#support/stability,"great , light",positive,EAEO
"great , light , comfortable shoe .",shoe,performance#comfort,comfortable,positive,EAEO
i have it in 2 colors now .,2 colors,appearance#color,i have,positive,EAEO
"easy to slip on and off , hugs my foot nicely .",null,appearance#form,easy to slip on and off,positive,IAEO
"easy to slip on and off , hugs my foot nicely .",null,performance#support/stability,hugs my foot nicely,positive,IAEO
where are some more colors ?,null,appearance#color,where are some more colors ?,negative,IAEO
size is big than usually adidas does and slightly wide .,adidas,performance#sizing/fit,size is big than usually,negative,EAEO
size is big than usually adidas does and slightly wide .,adidas,appearance#form,slightly wide,negative,EAEO
feels and look weird .,null,appearance#general,feels and look weird,negative,IAEO
feels and look weird .,null,performance#general,feels and look weird,negative,IAEO
love the colors !,null,appearance#color,love the colors,positive,IAEO
only disappointment is the color wears off .,null,appearance#material,only disappointment is the color wears off,negative,IAEO
only disappointment is the color wears off .,null,performance#durability,only disappointment is the color wears off,negative,IAEO
these are the perfect shoe for summer for my family !,shoe,contextofuse#use case,these are the perfect shoe for summer for my family,positive,EAEO
easy to put on and can get wet and dirty but are super easy to clean !,null,appearance#form,easy to put on,positive,IAEO
easy to put on and can get wet and dirty but are super easy to clean !,null,appearance#material,can get wet and dirty but are super easy to clean,positive,IAEO
i live in crocs .,crocs,contextofuse#usage frequency,i live in,positive,EAEO
i did like the printed crocs the best .,null,appearance#color,like the printed crocs the best,positive,IAEO
i have some navy blue patterned that i am wearing to death .,navy blue patterned,contextofuse#usage frequency,i am wearing to death,positive,EAEO
i have worn crocs for years and i like a little variety /,crocs,contextofuse#usage frequency,i have worn crocs for years,positive,EAEO
i have worn crocs for years and i like a little variety /,crocs,appearance#color,i like a little variety,positive,EAEO
i recently was looking at the crocs i bought for my daughter and i figured out why she doesnt like to wear them .,crocs,contextofuse#purchase\_context,bought for my daughter,neutral,EAEO
i recently was looking at the crocs i bought for my daughter and i figured out why she doesnt like to wear them .,crocs,contextofuse#usage frequency,figured out why she doesnt like to wear them,negative,EAEO
the footbed is very sharp .,footbed,appearance#shoe component,is very sharp,negative,EAEO
it actually hurts to walk in them .,null,performance#use case applicability,actually hurts to walk in,negative,IAEO
hoping crocs can do something for me .,crocs,cost/value,hoping crocs can do something for me,negative,EAEO
i usually get men so the women was actually tightly fitted,null,contextofuse#purchase\_context,i usually get men so the women was actually tightly fitted,neutral,IAEO
i usually get men so the women was actually tightly fitted,null,performance#sizing/fit,was actually tightly fitted,neutral,IAEO
the crocs i purchased for my grandson had to be returned .,crocs,contextofuse#purchase\_context,i purchased for my grandson had to be returned,negative,EAEO
"unfortunately , they were defective because the back strap that fits , normally , around the back of the ankle was ridiculously short and did not fit around .",back strap,appearance#shoe component,"they were defective because the back strap that fits , normally , around the back of the ankle was ridiculously short and did not fit around",negative,EAEO
"unfortunately , they were defective because the back strap that fits , normally , around the back of the ankle was ridiculously short and did not fit around .",null,performance#sizing/fit,"they were defective because the back strap that fits , normally , around the back of the ankle was ridiculously short and did not fit around",negative,IAEO
"measuring them against another pair of the same crocs he had that i wanted to replace , they were at least one inch shorter !",crocs,performance#sizing/fit,"measuring them against another pair of the same crocs he had that i wanted to replace , they were at least one inch shorter",negative,EAEO
"so , regretfully , the pair was returned .",pair,contextofuse#purchase\_context,was returned,negative,EAEO
i purchased these less than a month ago and the pattern is so cute but .,null,contextofuse#review\_temporality,purchased these less than a month ago,neutral,IAEO
i would not recommend any of the tie dye crocs .,tie dye crocs,appearance#color,i would not recommend any,negative,EAEO
i love the shoe itself just not how delicate they are with the pattern .,shoe,general,i love the shoe,positive,EAEO
i love the shoe itself just not how delicate they are with the pattern .,shoe,appearance#material,just not how delicate they are with the pattern,negative,EAEO
i purchased these less than a month ago and the pattern is so cute but .,null,appearance#color,pattern is so cute,negative,IAEO
it is so worn off that it is starting to look trashy .,null,appearance#material,so worn off that it is starting to look trashy,negative,IAEO
"took too long to ship and did not fit well at all , too small",null,contextofuse#purchase\_context,took too long to ship,negative,IAEO
"took too long to ship and did not fit well at all , too small",null,performance#sizing/fit,"did not fit well at all , too small",negative,IAEO
my son love these shoes .,shoes,general,my son love these,positive,EAEO
i love how versatile these are and can be worn casual or dressy .,null,contextofuse#use case,can be worn casual or dressy,positive,IAEO
i love how versatile these are and can be worn casual or dressy .,null,performance#use case applicability,i love how versatile these are,positive,IAEO
also the straps is convenient for toddlers,straps,appearance#shoe component,convenient for toddlers,positive,EAEO
it was very cheap and it fits me perfectly .,null,cost/value,it was very cheap,positive,IAEO
it was very cheap and it fits me perfectly .,null,performance#sizing/fit,fits me perfectly,positive,IAEO
its looks great,null,appearance#general,its looks great,positive,IAEO
"these stan smiths are so cute , but they do not have padding in the tongue like the classic ones , so they are impossibly to wear without cutting into the front of my ankles .",stan smiths,appearance#general,"so cute ,",positive,EAEO
"these stan smiths are so cute , but they do not have padding in the tongue like the classic ones , so they are impossibly to wear without cutting into the front of my ankles .",tongue,appearance#shoe component,they do not have padding in the tongue like the classic ones,negative,EAEO
"these stan smiths are so cute , but they do not have padding in the tongue like the classic ones , so they are impossibly to wear without cutting into the front of my ankles .",stan smiths,performance#comfort,they are impossibly to wear without cutting,negative,EAEO
have to return them : (,null,cost/value,have to return them,negative,IAEO
i like it because it ' s a good fit .,fit,performance#sizing/fit,i like it because it ' s a good fit,positive,EAEO
this is my second san smith and i would recommend it .,san smith,cost/value,i would recommend it,positive,EAEO
cute classic shoe .,shoe,appearance#form,cute classic,positive,EAEO
runs large in my opinion .,null,performance#sizing/fit,runs large in my opinion,negative,IAEO
comfort ok .,null,performance#comfort,comfort ok,positive,IAEO
new balance has the fit right !,new balance,performance#sizing/fit,has the fit right,positive,EAEO
unfortunately the sole is a disaster .,sole,appearance#shoe component,is a disaster,negative,EAEO
6 studs fell off in the first 2 weeks of use .,6 studs,performance#durability,fell off in the first 2 weeks of use,negative,EAEO
6 studs fell off in the first 2 weeks of use .,6 studs,appearance#shoe component,fell off in the first 2 weeks of use,negative,EAEO
the sole also has pealed away from the boot .,sole,appearance#shoe component,has pealed away from the boot,negative,EAEO
the sole also has pealed away from the boot .,sole,performance#durability,has pealed away from the boot,negative,EAEO
